特给退之钱千十百	特．其地之不同于古	3, 3	4, 4	f
今日之事何如	欲诛有功之人	2, 2	4, 4	t
天与云与山与水，上下一白。	予观夫巴陵胜状，在洞庭一湖。	12, 12	13, 13	t
及大有倾塌之势	已而之细柳军	5, 5	2, 2	f
臣以神遇而不以目视	仰不足以事父母	6, 6	3, 3	f
一人便以笠自障	先帝不以臣卑鄙	3, 3	3, 3	f
而卒以祸	皆以罪过徙补边屯	2, 2	1, 1	t
游于是乎始	石梁跨于其上	1, 1	3, 3	f
警吏追之，逸其三。	纣王令推上法场，斩之老母。	3, 3	9, 9	f
则假为贼。	物壮则老，是谓不道。	0, 0	2, 2	t
高岸为谷，深谷为陵。	含笑即为妇人，蹙面即为老翁，踞地即为小儿，执杖即成林木。	2, 2	3, 3	t
自古无道之国，水犹不冒城郭。今政治和平，世无兵革，上下相安，何因当有大水一日暴至？此必讹言也。	因其无备，卒然击之。	31, 31	0, 0	f
精于拳术	淫慢则不能励精	0, 0	6, 6	f
吁！汉帝之德，侯其祎而！	春蛾出蛹，修眉扬而！	10, 10	8, 8	t
诸葛亮之为相国也	莲之出淤泥而不染	3, 3	1, 1	t
同舍生皆被绮绣	泽被后世	4, 4	1, 1	t
降霍叔于庶人。	前者唱于而随者唱喁。	3, 3	3, 3	f
余谓童子：‘此何声也？汝出视之。’	只怕无情种，何愁有断缘。	7, 7	6, 6	f
上以其善用炮，敕免死	赵王岂以一璧之故欺秦	1, 1	3, 3	t
久之，能以足音辨人。	﹝季武子﹞赋《常棣》之七章以卒。	4, 4	13, 13	f
而我乃不能是	今少卿乃教以推贤进士	2, 2	3, 3	t
又与为人君者之不惠也，臣者之不忠也，父者之不慈也，子者之不孝也，此又天下之害也；	吾与富贵而诎于人，宁贫贱而轻世肆志焉。	1, 1	1, 1	f
许多房奁，尽被官府籍没了，则藏得这物。	今若暂停举选，或恐所害实深，一则远近惊惶，二则人士失业。	13, 13	15, 15	f
上得且罚之，众闻则非之。	张协顷刻且来拜辞。	2, 2	4, 4	t
日惴惴于奄思忧戚之中	州司临门，急于星火	3, 3	6, 6	f
冬日则为之𫗴粥，夏日则与之瓜麮。	夫子为弗闻也者而过之。	3, 3	2, 2	f
逝者如斯夫！不舍昼夜。	所以要为召开‘八大’而斗争者，就是要把缺点、错误改正。	1, 1	13, 13	f
旧不必良，以犯天忌，我必克之。	内难而能正其志，箕子以之。	5, 5	10, 10	t
他年我若为青帝，报与桃花一处开。	战而不克，为诸侯笑。	4, 4	5, 5	f
若农服田力穑，乃亦有秋。	又台下入海十余里，复有一碑，每海潮退时，乃可见。	7, 7	20, 20	t
从子将婚，戎遗其一单衣，婚讫而更责取。	其若见问，当作依违答之。	7, 7	0, 0	t
景公迎而贺之曰	窥镜而自视	3, 3	2, 2	t
不得志，独行其道	居庙堂之高则忧其民	6, 6	7, 7	t
汝误也，非故也，何罪之有？	见卿如获异宝，何憎之云！	10, 10	9, 9	t
过王而行	予独爱莲之出淤泥而不染	2, 2	8, 8	f
晨亦间行会于巨鹿下	则无望民之多于邻国也	5, 5	6, 6	f
权与物钧而生衡，衡运生规，规圜生矩，矩方生绳，绳直生准，准正则平衡而钧权矣。是为五则。	则，盖即今之天平法马也。	30, 30	0, 0	t
子墨子解带为城，以牒为械。	冯妇无可奈何，只得借游西湖为名，请了杨夫人、小六娘到船。	5, 5	13, 13	t
不要烦烦恼恼，与别人看破了，发出议论来。	众人虽素昔惧怕凤姐，然想二姐儿实在温和怜下，如今死去，谁不伤心落泪？只不敢与凤姐看见。	7, 7	37, 37	t
熙则未必饯别而赠人以序	谨拜表以闻	9, 9	3, 3	f
亲逐而君，尔父之厉。是之不忧，而何以田为？	且人之在斯世也，若局形气以言，清净染污，从吾志耳，安用效忠孝于宇宙目的为？	19, 19	35, 35	t
焉能有四焉	然力足以至焉	4, 4	5, 5	f
纣王令推上法场，斩之老母。	乃以聘礼还之夫家。	9, 9	5, 5	t
人有辱其师者	授之书而习其句读者	5, 5	8, 8	f
﹝女﹞自言宋时宫嫔，生时为宫监，相与有情，而不谐夫妇，阅今七百年，特来了此宿缘。	与为一声之转，故为有与义，与亦有为义。	12, 12	1, 1	f
其实孕育时，此亲生之身，而少而壮而老，亦莫非亲生之身。	由春而夏，由秋而冬；一而再，再而三。	12, 12	2, 2	t
余以为周之丧久矣句	读之不知，惑之不解	4, 4	6, 6	f
吾闻圣人不相，殆先生乎？	势之来，其生人之初乎？	10, 10	9, 9	t
鼓咽咽，醉言舞，于胥乐兮。	孝于惟孝，友于兄弟，施于有政。	8, 8	1, 1	t
此之谓也	若白垩之与黑漆	1, 1	3, 3	f
原庄宗之所以得天下	师者，所以传道受业解惑也	5, 5	4, 4	f
刺足阳明脉，左右各三所，病旋已。	文帝元年四月，齐楚地山二十九所同日俱大发水。	10, 10	14, 14	t
天造草昧，宜建侯而不宁。	郑读而为‘能’，能犹安也。	8, 8	2, 2	t
小属而支，大生而孥，恺悌祗敬，用底于理。	把酒时伸奠，汨罗空远而。	2, 2	10, 10	f
总为浮云能蔽日，长安不见使人愁。	桥的南端有好几家磨坊，为用水的关系在溪面上斜横地砌就了一道长堤，把溪水归引到一个水槽里去。	1, 1	11, 11	t
公亦以此自矜	以是人多以书假余	2, 2	4, 4	f
此悉贞良死节忠臣，愿陛下亲之信之。	驴不胜怒，蹄之。	13, 13	6, 6	t
铤而走险，急何能择？	宋忠、贾谊忽而自失，芒乎无色，怅然噤口不能言。	1, 1	6, 6	t
故少之日得学之功十五	公问其故	0, 0	3, 3	f
郯子之徒，其贤不及孔子。	如果移到别处，结成的佛手就像拳头那么一个，没有长长的指头，不成其为‘手’了。	5, 5	31, 31	f
凡他人之所重	而为秦人积威之所劫	4, 4	7, 7	f
广令诸骑曰：‘前！’前未到匈奴陈二里所，止，令曰：‘皆下马解鞍！’	召而见之，则所梦也。	18, 18	6, 6	f
冬日则为之𫗴粥，夏日则与之瓜麮。	意再拜曰：‘某，微品也。而公为之名字，荣逾万金之赐。’	3, 3	14, 14	t
我罔为臣仆。	战而不克，为诸侯笑。	2, 2	5, 5	f
不冠不袜，以蓝手巾裹头	臣以险衅，夙遭闵凶	4, 4	4, 4	f
若归，试私从容问而父。	而家小郎子，大不端好。	8, 8	0, 0	t
古今之至人	苟以天下之大	2, 2	4, 4	f
斩伐者以时	宫室足以避燥湿	3, 3	3, 3	f
家本秦也，能为秦声。妇，赵女也，雅善鼓瑟。	与己同则应，不与己同则反；同于己为是之，异于己为非之。	6, 6	16, 16	f
率惟兹有陈，保乂有殷，故殷礼陟配天，多历年所。	广令诸骑曰：‘前！’前未到匈奴陈二里所，止，令曰：‘皆下马解鞍！’	21, 21	18, 18	t
桃之夭夭，灼灼其华，之子于归，宜其室家。	曩者霸上、棘门军，若儿戏耳，其将固可袭而虏也。	7, 7	14, 14	t
使各言其志	其如土石何？	3, 3	0, 0	f
汝其敬识百辟享。	君其且调弦，桂酒妾行酌。	1, 1	1, 1	t
玉在山而草木润，渊生珠而崖不枯。	忽然，诗人从中出现了，由小而大，由远而近。	3, 3	13, 13	f
夫袪犹在，女其行乎！	愿君顾先王之宗庙，姑反国统万人乎！	8, 8	15, 15	t
姚贾辞行，绝其谋，止其兵，与之为交以报秦。	犀首与张寿为怨，陈需新入，不善犀首，因使人微杀张寿。	15, 15	5, 5	t
其得疾之由，或以饮食	又留蚊于素帐中，徐喷以烟	7, 7	10, 10	f
奚以知其然也	或脱身以逃	1, 1	3, 3	f
暴秦之欲无厌	杳不知其所之也	2, 2	5, 5	f
六物不同，民心不壹，事序不类，官职不则。	今之世，至寒矣，至热矣，而民无走者，取则行钧也。	18, 18	19, 19	t
颊侧上出者曰之，下垂者曰而，须鬣属也。	君子见几而作，不俟终日。	12, 12	4, 4	f
惟江上之清风	泰山之阳	3, 3	2, 2	t
而其名不敝于天壤	则移其民于河东	5, 5	4, 4	f
因以为号焉	不以物喜	1, 1	1, 1	f
方其破荆州	其孰能讥之乎	1, 1	0, 0	f
法度量则，不壹歉疑者，皆明壹之。	则，盖即今之天平法马也。	3, 3	0, 0	t
为者，治也。	为归汶阳之田故，诸侯贰于晋。	0, 0	0, 0	f
发民筑城，日夜不得休息，民大惊扰，争迁居城中。男女昏会，不复以年。	久之，能以足音辨人。	30, 30	4, 4	t
王生好学而不得其法	濯清涟而不妖	5, 5	4, 4	t
以相如功大，拜为上卿	夫夷以近，则游者众	5, 5	4, 4	f
争得大裘长万丈，与君都盖洛阳城。	不须乞米供高士，但与开轩作胜游。	8, 8	9, 9	t
善人为邦百年，亦可以胜残去杀矣。	即为书以意属阳庆，以故知庆。	2, 2	1, 1	f
观其之南都	予之及于死者不知其几矣	1, 1	8, 8	f
今其智乃反不能及	荆轲废，乃引其匕首提秦王	1, 1	6, 6	f
知人者智，自知者明。	虽行不轨如厉王者，令不肯听，召之安可致乎？	2, 2	7, 7	t
庶免其堕弃之日深	天之苍苍，其正色邪	2, 2	5, 5	f
并二仔亦纵之	畜亦有之	5, 5	3, 3	f
岂不诚大丈夫哉	臣诚知不如徐公美	1, 1	3, 3	t
因以为名也	君因我降，与君为兄弟	2, 2	7, 7	f
抑为之不厌，诲人不倦，则可谓云尔已矣。	为神农之言，即治神农之道也。	1, 1	0, 0	t
曲文之词采，与诗文之词采非但不同，且要判然相反。	不知为什么，一个女人一做了母亲，便将一切都缩小了，且总是那样小气，填不满那物质的奢望。	17, 17	25, 25	t
伯牙乃舍琴而叹日	鸣之而不能通其意	5, 5	2, 2	f
故使陵来说足下	故木受绳则直	0, 0	0, 0	t
殷有比干，吴有子胥，齐有狐援，已不用若言，又斮之东阁。	鸣声若有意，颠倒相追奔。	18, 18	2, 2	f
此吾利也，而大役焉然郑亡，	子亦有不利焉	8, 8	5, 5	t
使人称谢	长跪而谢之	3, 3	3, 3	f
时夫仆俱阻险行后，余亦停弗上；乃一路奇景，不觉引余独往。	使在后世，岂不以妄诞得罪，乃帝反伟之。	15, 15	13, 13	t
得之为有财，古之人皆用之。	长为南山固，永与朝日明。	2, 2	1, 1	t
往来而不绝者	佛印绝类弥勒	4, 4	2, 2	f
圣人未尝专语之	久之，能以足音辨人	1, 1	8, 8	f
俯贻则于来叶，仰观象于古人。	这期间，不顾一切阻挠以身作则做一个开路先锋的便是许倩如。	2, 2	13, 13	t
意再拜曰：‘某，微品也。而公为之名字，荣逾万金之赐。’	大府与之为让，至一再，乃敢改服，以宾主见。	14, 14	4, 4	f
陵军五千人，兵矢既尽，士死者过半，而所杀伤匈奴亦万余人，且引且战。	曾子问曰：‘葬引至于堩。日有食之，则有变乎？且不乎？’	28, 28	22, 22	f
君子是以知秦穆公之为君也，举人之周也，与人之壹也。	我未与其本事也。	19, 19	2, 2	t
而钱不湿	何苦而不平	2, 2	3, 3	f
虏乘其隙也，连破州邑，遂越魏犯澶，百姓骚然。天子为戎衣济河，而虏之谋臣射死，兵遂解去。	所来为宗族，亦不为盘飧。	24, 24	2, 2	f
会张邈、陈宫以兖州反操，而潜迎吕布。	发民筑城，日夜不得休息，民大惊扰，争迁居城中。男女昏会，不复以年。	6, 6	30, 30	t
此蒙谷之功，多与存国相若。	然以今日国势揆之，靖康之初，其不相若远甚。	11, 11	17, 17	t
蕃居太学，诸生不为非义。	雷横兄弟，他自犯了该死的罪，我因义气放了他，出头不得，上山入伙，我亦为他配在这里。	8, 8	34, 34	f
为，犹求也。	我还要为各种各样的人办各种各样的事，做各种各样的工作。	0, 0	3, 3	f
定公以孔子为中都宰，一年，四方皆则之。	故其勒御部众，拟则中国。	16, 16	8, 8	t
赵奢以法治之	水陆草木之花	5, 5	4, 4	f
系、因皆连接也。	水边小丘因古城，上有巨竹数百个。	2, 2	4, 4	t
吾顾见汝，比及三年，将复而野。	故古者圣王，唯而审以尚同。	12, 12	7, 7	f
焉得谖草？言树之背。	鹤实有禄位，余焉能战？	0, 0	7, 7	t
尔丕克远省，尔知宁王若勤哉！	雪魄未应若，况天赋标艳仍绰约。	10, 10	4, 4	t
冬日则为之𫗴粥，夏日则与之瓜麮。	我其为王穆卜。	3, 3	2, 2	f
其陈桓公之谓乎？	势相激而理随以易，意者其天乎！	6, 6	13, 13	t
教以慎于接物	过梁、楚以归	1, 1	4, 4	f
祝称卜葬虞，子孙曰哀，夫曰乃。	遂与六曹豪吏，姑熟贤者，乃缁乃黄，凫趋梵庭，请扬宰君之鸿美。	13, 13	12, 12	t
张翠曰：‘韩未急也，且急矣？’	心知去不归，且有后世名。	10, 10	6, 6	t
与韩胄君古洲鲁公	与卢、关正同时	0, 0	0, 0	t
苟违亲而事主	兵刃既接，弃甲曳兵而走	3, 3	9, 9	f
父亲先去，待您孩儿再回军中，去拏的刘季真来，一者与父亲出力，二者也就做孩儿进身之礼。	小船四只、一者护送，二者以备杂差。	23, 23	6, 6	t
不须乞米供高士，但与开轩作胜游。	也拟与愁排遣，奈江山遮拦不断。	9, 9	2, 2	t
君子之爱其身，如此其至也	夫谋之一不见用，则安知终不复用也	11, 11	15, 15	f
为其来，于其来也。古者或谓于曰为，于犹为也。	元大德十一年，杭州大饥，官设粥仙林寺中，饥民殍死，不为衰止。	0, 0	26, 26	f
故无因而至前，虽出随珠和璧，犹结怨而不见德。	自古无道之国，水犹不冒城郭。今政治和平，世无兵革，上下相安，何因当有大水一日暴至？此必讹言也。	2, 2	31, 31	t
臣为韩王送沛公	父母宗族，皆为戮没	1, 1	6, 6	f
三月无君则吊，不以急乎？	人皆谓童子耳目明达，神气以灵，余亦伟童子之独出于等夷也。	8, 8	12, 12	t
亡国之祸败不可胜悔也	不可胜日志也	9, 9	5, 5	t
荒政之施，莫此为大。	不成为介虫也。	7, 7	2, 2	f
大率义之所在，毅然必为。	欲劝人为孝，则举一孝子出名，但有一行可纪，则不必尽有其事，凡属孝亲所应有者，悉取而加之。	10, 10	3, 3	f
小人之学也，入乎耳，出乎口。口耳之间则四寸耳，曷足以美七尺之躯哉。	巧则巧矣，非尽善也。	18, 18	1, 1	f
仆自少至今，从事于往还朋友间一十七年矣，日月不为不久。	为归汶阳之田故，诸侯贰于晋。	23, 23	0, 0	f
僖侯曰：‘尚浴免则有当代者乎？’左右对曰：‘有。’僖侯曰：‘召而来。’	为人者陈而言，君以其言授之事，专以其事责其功。	31, 31	4, 4	t
不以作《春秋》故也	奉宜室以何年	1, 1	3, 3	f
六月之间，下齐七十余城，皆为郡县以。	民春以力耕，暑以强耘，秋以收敛，冬间无事，以伐林而积之。	16, 16	2, 2	f
后狼止而前狼又至	日中不至，则是无信	7, 7	3, 3	t
为风为火，殪彼蒙冲；如霆如雷，击其舟舰。	大府与之为让，至一再，乃敢改服，以宾主见。	0, 0	4, 4	f
其谁可而为之	为人谋而不忠乎	3, 3	3, 3	f
虽陨于深渊，则天命也。	曰安且治者，非愚则谀。	6, 6	8, 8	f
门虽设而常关	或植杖而耘耔	3, 3	3, 3	f
食不饱，力不足	不足为外人道也	6, 6	1, 1	f
今陛下有成王之尊而无数子之佐，虽欲崇雍熙，致太平，其可得乎？	物物各有职，怠心其敢萌？	25, 25	8, 8	t
亦言其人有德。	今陛下有成王之尊而无数子之佐，虽欲崇雍熙，致太平，其可得乎？	2, 2	25, 25	f
小二道：‘﹝焦大郎﹞有便有些产业，也不为十分富厚。’	与为一声之转，故为有与义，与亦有为义。	19, 19	1, 1	f
若君不修德，舟中之人尽为敌国也。	天快黑的时候，到了一个小镇，名为三栋。	11, 11	15, 15	f
故古者圣王，唯而审以尚同。	士不偏不党，柔而坚，虚而实。	7, 7	7, 7	t
汝心之固	是非木杮，岂能为暴涨携之去	2, 2	11, 11	f
虽使黄、陈复生	虽无丝竹管弦之盛	0, 0	0, 0	f
议法度而修之于朝廷	则知明而行无过矣	3, 3	3, 3	t
鸡豚狗彘之畜	臣之壮也	4, 4	1, 1	f
予独爱莲之出淤泥而不染	无丝竹之乱耳	4, 4	3, 3	t
必欲争天下，非信无所与计事者。	浴场都造得好，这一所更其华丽。	9, 9	9, 9	f
而犹得保为士人之家者	后人哀之而不鉴之	7, 7	7, 7	t
舜发于畎亩之中	见其发矢十中八九	6, 6	5, 5	f
纣杀王子比干而不悔，身死则国亡。	饮则食兮寿而康。	12, 12	1, 1	t
启呱呱而泣。	吾恂恂而起。	3, 3	3, 3	t
古者未有君臣上下之时，民乱而不治。	日者，淮南、衡山修文学，招四方游士；山东儒墨咸聚于江淮之间，讲议集论，著书数十篇。	1, 1	1, 1	t
以画竹，兰为长。	以其境过清，不可久居。	7, 7	10, 10	f
鹤实有禄位，余焉能战？	康公之母诚贤耶？则宜以淫荒失度命其子，焉用惧之以数？	7, 7	19, 19	t
众好之，必察焉；众恶之，必察焉。	躁静于焉见，谁与度物情？	6, 6	3, 3	t
求于滑人	颇多于旧史	1, 1	2, 2	f
莫不备具	百废具兴	3, 3	2, 2	f
因宾客至蔺相如门谢罪	君因我降	0, 0	1, 1	t
晋平公问于祁黄羊曰：‘南阳无令，其谁可而为之？’	而，犹以也，言谁可以为之也。古者而与以同义，故可以或曰可而。	19, 19	0, 0	t
颇拟决去府校，而尚无可之之地也。	乃如之人兮，逝不古处。	11, 11	2, 2	f
广令诸骑曰：‘前！’前未到匈奴陈二里所，止，令曰：‘皆下马解鞍！’	赐云肩飞鱼服，与春饼之宴。宴之不举者，三十年所矣。	18, 18	22, 22	t
邻国之民不加少，寡人之民不加多，何也？	然而不王者，未之有也	17, 17	9, 9	f
鱼肠胃伦肤若九，若十有一，下大夫则若七若九。	诸将以万人若以一群降者，封万户。	5, 5	5, 5	t
齐桓公独以管仲谋伐莒，而国人知之。	﹝烈﹞少时本太学书生，学无不览，常以人谈论五经百家之言，无不该博。	4, 4	17, 17	t
乃如之人兮，逝不古处。	禹疏九河，瀹济漯而注诸海；决汝汉，排淮泗而注之江。	2, 2	22, 22	f
吾不与祭，如不祭。	皇帝不使吏与其间，赦大王，甚厚。	2, 2	5, 5	f
故秋霜降者草花落，水摇动者万物作，此必然之效也。	父亲先去，待您孩儿再回军中，去拏的刘季真来，一者与父亲出力，二者也就做孩儿进身之礼。	4, 4	23, 23	t
君爱宛甚，何不一为酒其家？陈奇猷集释引太田方曰：为酒，置酒也。	夏寒雨霜，甲子干戊子，介虫不为。	8, 8	14, 14	f
并二仔亦纵之	拥土覆之	5, 5	3, 3	t
与其进也，不与其退也。	﹝夫差﹞无礼于宋，遂与勾践禽，死于干隧。	0, 0	10, 10	f
岁旱，穆公召县子而问然，曰：‘吾欲暴巫而奚若？’曰：‘天则不雨，而望之愚妇人，于以求之，毋乃已疏乎！	其后，上将有所相，不可于众。君与起居舍人李约交章指摘，事以不行。	40, 40	28, 28	f
故其勒御部众，拟则中国。	言必出乎正，动必由乎礼。趋舍取予，咸则乎古之君子。	8, 8	18, 18	t
每至于族……视为止，行为迟，动刀甚微。	元大德十一年，杭州大饥，官设粥仙林寺中，饥民殍死，不为衰止。	7, 7	26, 26	t
沈将仕谨依其言，不敢则一声。	纣杀王子比干而不悔，身死则国亡。	10, 10	12, 12	f
而吾非恶富贵而乐贫贱	吾先世盛极而衰	6, 6	5, 5	f
粮食大侈，不顾其后，俄则屈安穷矣。	人主不能不有游观、安燕之时，则不得不有疾病、物故之变焉。	11, 11	14, 14	f
忘路之远近	水陆草木之花	2, 2	4, 4	t
权与物钧而生衡，衡运生规，规圜生矩，矩方生绳，绳直生准，准正则平衡而钧权矣。是为五则。	铜则，重一百斤。黄字号。	30, 30	1, 1	t
率惟兹有陈，保乂有殷，故殷礼陟配天，多历年所。	太祖为流矢所中。	21, 21	5, 5	f
汝但出外留客	但少闲人如吾两人者耳	1, 1	0, 0	t
公乃为诗以贻王。	即为书以意属阳庆，以故知庆。	2, 2	1, 1	t
吾尝终日而思矣	爱其子，择师而教之	4, 4	6, 6	f
所识穷乏者	穷冬大风	2, 2	0, 0	f
度支员外郎宋迪工画，尤善为平远山水。	王启监，厥乱为民。	12, 12	6, 6	f
其真无马邪	帝感其诚	0, 0	2, 2	f
草木生之，禽兽居之。	使吾君固寿，金玉之贱，人民是宝。	3, 3	8, 8	f
刚毅而信实	劳苦而功高如此	2, 2	2, 2	f
皆集于此	种植之利有大于此者乎	3, 3	7, 7	f
亦孔之将。	晋侯赏从亡者，介之推不言禄。	2, 2	8, 8	t
若壅其口，其与能几何？	朕之不明与嘉之，其奚哀悲之有！裴骃集解引如淳曰：与，发声也。得卒天年已善矣。	6, 6	4, 4	t
势之来，其生人之初乎？	势相激而理随以易，意者其天乎！	9, 9	13, 13	t
孙叔敖疾，将死，戒其子曰：‘王亟封我矣，吾不受也。为我死，王则封汝。汝必无受利地！’	齐桓公问于宁戚曰：‘筦子今年老矣。为弃寡人而就世也，吾恐法令不行，人多失职，百姓疾怨，国多盗贼。’	25, 25	17, 17	t
俾是荒服，移为阙里。	齐桓公问于宁戚曰：‘筦子今年老矣。为弃寡人而就世也，吾恐法令不行，人多失职，百姓疾怨，国多盗贼。’	6, 6	17, 17	f
秦以城求璧而赵不许，曲在赵；赵予璧而秦不予赵城，曲在秦。	周公而非圣人则可，周公而圣人也，岂为之哉！	5, 5	2, 2	f
百尔所思，不如我所之。	千人所指，无病而死。	2, 2	2, 2	t
但当涉猎，见往事耳	见其发矢十中八九，但微颔之	0, 0	9, 9	t
仆以口语遇遭此祸	曼辞以自饰	1, 1	2, 2	f
度支员外郎宋迪工画，尤善为平远山水。	通计一舟，为人五。	12, 12	5, 5	t
汝土以殷	生物之以息相吹也	2, 2	3, 3	f
功可以窃，而罪可以诿，莫阁臣若。	一若志，无听之以耳，而听之以心。	14, 14	1, 1	f
故汤之放桀也，非其逐之鸣条之时也；武王之诛纣也，非以甲子之朝而后胜也。	汤其无郼，武其无岐，贤虽十全，不能成功。	8, 8	1, 1	f
景王问于苌弘曰：‘今兹诸侯何实吉？何实凶？’	失子将何尤？吾将上尤天。	13, 13	3, 3	t
子产而死，谁其嗣之？	君不若使人问之，而固贤者也，用之未晚也。	2, 2	8, 8	t
叔叔去取行李，路上小心在意者！	行者叫道：‘泼魔出来！与老孙打者！’	13, 13	1, 1	t
醉翁之意不在酒，在乎山水之间也。	她也曾近乎撒娇似地问过他。	9, 9	4, 4	t
相爱则有所不忍北虽貌敬，	实则愤怒	2, 2	1, 1	f
孟孙氏特觉人哭亦哭，是自其所以乃。	后至者乃弗及遁。	15, 15	3, 3	f
今二子者，君生则纵其惑，死又益其侈，是弃君于恶也，何臣之为？	叔孙、武孙毁仲尼，子贡曰：‘无以为也！’	28, 28	16, 16	f
为坛于南方北面，周公立焉。	礼之用，和为贵；先王之道，斯为美。	0, 0	5, 5	f
官吏豪杰与计坚守者十人。	者生无易由言，不顾其患，患至而后默，晚矣。	8, 8	0, 0	t
比至深冬严寒之际，毛羽脱落，索然如鷇雏，遂自鸣曰：‘得过且过。’	不过这几天不行，且等一等罢。	28, 28	8, 8	t
犀首与张寿为怨，陈需新入，不善犀首，因使人微杀张寿。	今复若能杀彼师子，除一大害，真为奇特。	5, 5	15, 15	f
